ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
47,Invocador,실험체,800 ,<color=#1BA9E3>,Vara Mágica,<color=#FF76DE>,Aumente o dano de Espírito em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,93 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,271 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
48,Bispo,실험체,800 ,<color=#1BA9E3>,Égide,<color=#FF76DE>,Reduza o dano sofrido em 2% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,108 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
49,Ocultista,실험체,800 ,<color=#1BA9E3>,Tentáculo do Outro Mundo,<color=#FF76DE>,Aumente o dano de Raio Arcano em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,119 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,531 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
50,Druida,실험체,800 ,<color=#1BA9E3>,Leque de Folha de Palmeira,<color=#FF76DE>,Aumente o dano de Ciclone em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,141 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,391 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
51,Piromante,실험체,800 ,<color=#1BA9E3>,Arco da Fênix,<color=#FF76DE>,Aumente o dano de Bola de Fogo em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,138 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,181 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
52,Feiticeiro,실험체,800 ,<color=#1BA9E3>,Cabo Elétrico,<color=#FF76DE>,Aumente o dano de Choque Elétrico em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,142 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,421 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
53,Alquimista,실험체,800 ,<color=#1BA9E3>,Braço de Máquina,<color=#FF76DE>,Aumente o dano de Raio de Energia em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,143 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,481 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
54,Acadêmico,실험체,800 ,<color=#1BA9E3>,Starlight,<color=#FF76DE>,Aumente a aquisição de mana em 2% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,221 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
55,Bruxa,실험체,800 ,<color=#1BA9E3>,Enxofre,<color=#FF76DE>,Aumente o dano de Zona de Lava em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,148 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,581 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
56,Eletromante,실험체,800 ,<color=#1BA9E3>,Robô,<color=#FF76DE>,Aumente o dano de Zona Elétrica em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,205 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,291 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
57,Árbitro,실험체,800 ,<color=#1BA9E3>,Flauta Relaxante de Ondas,<color=#FF76DE>,Aumente o dano de Tsunami em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,146 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,251 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
58,Arquimago,실험체,800 ,<color=#1BA9E3>,Gato Preto,<color=#FF76DE>,Reduza toda a recarga mágica em 1% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,99 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
59,Arqueólogo,실험체,800 ,<color=#1BA9E3>,Pirâmide,<color=#FF76DE>,Aumente o alcance de coleta de item em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,167 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
60,Mágico,실험체,800 ,<color=#1BA9E3>,Flecha do Éter,<color=#FF76DE>,Aumente a taxa de Golpe Crítico em 1% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,97 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
61,Mago,실험체,800 ,<color=#1BA9E3>,Coroa de Floco de Neve,<color=#FF76DE>,Aumente o dano de Nevasca em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,145 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,511 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
62,Mago de Batalha,실험체,800 ,<color=#1BA9E3>,Gáe Bolg,<color=#FF76DE>,Aumente o dano de Choque Luminoso em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,150 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,601 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
63,Senhor da Guerra,실험체,800 ,<color=#1BA9E3>,Sopro do Dragão,<color=#FF76DE>,Aumente o dano de Incineração em 5% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,144 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,461 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
64,Mago Negro,실험체,800 ,<color=#1BA9E3>,Exorcismo,<color=#FF76DE>,Aumente todo o tamanho da magia em 2% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,172 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
65,Abóbora Iluminada,실험체,800 ,<color=#1BA9E3>,Lanterna,<color=#FF76DE>,Aumente a Evasão em 1% (todas as classes),<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,92 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
66,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
67,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
68,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
69,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
70,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
71,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
72,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
73,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
74,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
75,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
76,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
77,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
78,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
79,`,`,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
